id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm363488,RBG,MOVIE,2018,PG,98,['documentation'],['US'],,tt7689964,7.6,14182,8.258,7.6
tm315424,An Evening with Beverly Luff Linn,MOVIE,2018,R,108,"['crime', 'comedy']","['GB', 'US']",,tt6520524,5.8,5457,5.109,5.8
ts57303,Friends from College,SHOW,2017,TV-MA,30,"['comedy', 'drama']",['US'],2,tt5565334,6.9,20555,6.906,6.5
tm310899,Mary Magdalene,MOVIE,2018,R,120,"['drama', 'history']","['US', 'AU', 'GB']",,tt5360996,5.9,10364,54.725,6.3
ts56594,Disjointed,SHOW,2017,TV-MA,28,['comedy'],['US'],2,tt5884792,6.7,10153,14.558,5.8
ts76313,Sisters,SHOW,2017,TV-14,39,"['drama', 'comedy']",['AU'],1,tt8453436,7.4,1756,3.589,8.6
tm417496,Dumplin',MOVIE,2018,PG-13,110,"['comedy', 'drama']",['US'],,tt4878482,6.5,33689,11.4,6.8
tm352588,Tau,MOVIE,2018,R,97,"['scifi', 'thriller', 'horror']",['US'],,tt4357394,5.8,31218,10.801,6.2
ts79660,Creeped Out,SHOW,2017,TV-PG,26,"['scifi', 'thriller', 'family', 'fantasy', 'action', 'crime', 'drama', 'history', 'horror']","['CA', 'GB']",2,tt7573024,6.6,1890,24.556,7.3
tm314477,Skins,MOVIE,2017,,78,"['drama', 'comedy', 'fantasy', 'european']",['ES'],,tt5808778,6.1,5892,14.034,6.6
ts75263,Wormwood,SHOW,2017,TV-14,43,"['crime', 'documentation', 'drama', 'fantasy']",['US'],1,tt1149367,7,4239,1.898,6.2
tm368241,Duck Butter,MOVIE,2018,,94,"['comedy', 'drama', 'romance']",['US'],,tt6958014,5.2,3978,10.766,5.5
tm503797,Never Stop Dreaming: The Life and Legacy of Shimon Peres,MOVIE,2018,,129,['documentation'],['US'],,tt8172146,,,3.532,5.5
tm244175,The Zookeeper's Wife,MOVIE,2017,PG-13,126,"['war', 'drama', 'history']","['CZ', 'GB', 'US']",,tt1730768,7,43091,23.231,7.4
tm321224,"Game Over, Man!",MOVIE,2018,R,100,"['comedy', 'action']",['US'],,tt3317234,5.4,30218,14.358,5.5
ts90596,Polly Pocket,SHOW,2018,,15,"['fantasy', 'animation', 'comedy', 'family']","['US', 'IE', 'CA']",3,tt8673042,6,125,11.971,6.8
